"monyear","CompositeN.x","p03_POR","p03_2008great","greater2008","p03_Selected","p50_all","pe03_all","MONID.x","summarized.x","MONID.y","CompositeN.y","excmnbx","excwldp","exc0307","exclesspt5s","excless1s","excless2s","XericRatio","XericFlagG","connected","TypeWorL","CompositeTimeSeriesName","NotDevelopmentDataset","TBSiteID","TBCompositeID","compositetsname","augstatus","acres","depth","wellfield","eco1990_2002","eco2003_2007","eco2008_2014","rfwha1998","rfwha2016","TBWName1","SWFWMDName1","proposedtype","connectedbutkeep","augmentdistrict","maybemesic","assessedasunmon","ecoscombined","sasddncombined","npresorun","summarized.y","olderoffset"
"345_1996_2002","345_NP-10_",45.2749,45.073,NA,45.2749,39.935,-5.3399,345,"1996_2002",345,"345_NP-10_",NA,NA,NA,NA,NA,1,0.94009633,1,"Conditionally Connected","wetland","NOP-10",NA,5378,3196,"NOP-10","None",2.188466382,6.4,"NOP","S","S","S",0,0,"NP-10",NA,"Xeric Isolated Cypress",NA,NA,NA,NA,"S",1.975133061,45.7,"1996_2002",-5.3399
"345_2003_2007","345_NP-10_",45.2749,45.073,NA,45.2749,42.14,-3.1349,345,"2003_2007",345,"345_NP-10_",NA,NA,1,NA,NA,NA,0.94009633,1,"Conditionally Connected","wetland","NOP-10",NA,5378,3196,"NOP-10","None",2.188466382,6.4,"NOP","S","S","S",0,0,"NP-10",NA,"Xeric Isolated Cypress",NA,NA,NA,NA,"S",2.166464329,45.7,"2003_2007",-3.1349
"345_2008_2014","345_NP-10_",45.2749,45.073,NA,45.2749,42.095,-3.1799,345,"2008_2014",345,"345_NP-10_",NA,NA,NA,NA,1,1,0.94009633,1,"Conditionally Connected","wetland","NOP-10",NA,5378,3196,"NOP-10","None",2.188466382,6.4,"NOP","S","S","S",0,0,"NP-10",NA,"Xeric Isolated Cypress",NA,NA,NA,NA,"S",0.514979,45.7,"2008_2014",-3.1799
"348_1996_2002","348_NP-15_",46.8559,46.5442,NA,46.8559,44.375,-2.4809,348,"1996_2002",348,"348_NP-15_",NA,NA,NA,1,1,1,0.4070847,1,"Conditionally Connected","wetland","NOP-15",1,5383,3199,"NOP-15","None",169.9519452,2.74,"NOP","S","S","S?",1,NA,"NP-15",NA,"Not assigned",NA,NA,NA,1,"S",0.155241817,48.3,"1996_2002",-2.4809
"348_2003_2007","348_NP-15_",46.8559,46.5442,NA,46.8559,45.62,-1.2359,348,"2003_2007",348,"348_NP-15_",NA,NA,1,1,1,1,0.4070847,1,"Conditionally Connected","wetland","NOP-15",1,5383,3199,"NOP-15","None",169.9519452,2.74,"NOP","S","S","S?",1,NA,"NP-15",NA,"Not assigned",NA,NA,NA,1,"S",0.170680791,48.3,"2003_2007",-1.2359
"348_2008_2014","348_NP-15_",46.8559,46.5442,NA,46.8559,44.37,-2.4859,348,"2008_2014",348,"348_NP-15_",NA,NA,NA,NA,NA,NA,0.4070847,1,"Conditionally Connected","wetland","NOP-15",1,5383,3199,"NOP-15","None",169.9519452,2.74,"NOP","S","S","S?",1,NA,"NP-15",NA,"Not assigned",NA,NA,NA,1,NA,0.046814,48.3,"2008_2014",-2.4859
"411_1996_2002","411_S-005",27.567,27.6333,1,27.6333,23.315,-4.3183,411,"1996_2002",411,"411_S-005",NA,NA,NA,NA,NA,1,1,1,"Conditionally Connected","wetland","STK-S-005",NA,NA,NA,"STK-S-005",NA,NA,5.9,"STK","S","S","S",NA,NA,"S-005","STWF A","Xeric Isolated Marsh",NA,NA,NA,NA,"S",1.378461,29.3,"1996_2002",-4.3183
"411_2003_2007","411_S-005",27.567,27.6333,1,27.6333,23.41,-4.2233,411,"2003_2007",411,"411_S-005",NA,NA,1,NA,NA,NA,1,1,"Conditionally Connected","wetland","STK-S-005",NA,NA,NA,"STK-S-005",NA,NA,5.9,"STK","S","S","S",NA,NA,"S-005","STWF A","Xeric Isolated Marsh",NA,NA,NA,NA,"S",2.057052374,29.3,"2003_2007",-4.2233
"411_2008_2014","411_S-005",27.567,27.6333,1,27.6333,23.49,-4.1433,411,"2008_2014",411,"411_S-005",NA,NA,NA,NA,NA,1,1,1,"Conditionally Connected","wetland","STK-S-005",NA,NA,NA,"STK-S-005",NA,NA,5.9,"STK","S","S","S",NA,NA,"S-005","STWF A","Xeric Isolated Marsh",NA,NA,NA,NA,"S",1.15857,29.3,"2008_2014",-4.1433
"412_1996_2002","412_S-006_STWF Q",29.1638,29.4975,1,29.4975,24.755,-4.7425,412,"1996_2002",412,"412_S-006_STWF Q",NA,NA,NA,NA,NA,1,1,1,"Conditionally Connected","wetland","STK-S-006",NA,5410,3220,"STK-S-006","None",20.21381732,6.44,"STK","S","S","S",0,0,"S-006","STWF Q","Xeric Isolated Cypress",NA,NA,NA,NA,"S",1.313967466,29.5,"1996_2002",-4.7425
"412_2003_2007","412_S-006_STWF Q",29.1638,29.4975,1,29.4975,26.52,-2.9775,412,"2003_2007",412,"412_S-006_STWF Q",NA,NA,1,NA,NA,1,1,1,"Conditionally Connected","wetland","STK-S-006",NA,5410,3220,"STK-S-006","None",20.21381732,6.44,"STK","S","S","S",0,0,"S-006","STWF Q","Xeric Isolated Cypress",NA,NA,NA,NA,"S",1.547464132,29.5,"2003_2007",-2.9775
"412_2008_2014","412_S-006_STWF Q",29.1638,29.4975,1,29.4975,26.04,-3.4575,412,"2008_2014",412,"412_S-006_STWF Q",NA,NA,NA,NA,1,1,1,1,"Conditionally Connected","wetland","STK-S-006",NA,5410,3220,"STK-S-006","None",20.21381732,6.44,"STK","S","S","S",0,0,"S-006","STWF Q","Xeric Isolated Cypress",NA,NA,NA,NA,"S",0.718072,29.5,"2008_2014",-3.4575
"414_1996_2002","414_S-008_Bonnet Lake",31.2532,31.3395,1,31.3395,26.31,-5.0295,414,"1996_2002",414,"414_S-008_Bonnet Lake",NA,NA,NA,NA,NA,1,0.811855125,1,"Conditionally Connected","lake","STK-S-008",NA,5412,3222,"STK-S-008","Past",3.340597669,8.73,"STK","S","S","S",0,0,"S-008","Bonnet Lake","Xeric Isolated Marsh",NA,NA,NA,NA,"S",1.950880528,31.67,"1996_2002",-5.0295
"414_2003_2007","414_S-008_Bonnet Lake",31.2532,31.3395,1,31.3395,28.325,-3.0145,414,"2003_2007",414,"414_S-008_Bonnet Lake",NA,NA,1,NA,NA,NA,0.811855125,1,"Conditionally Connected","lake","STK-S-008",NA,5412,3222,"STK-S-008","Past",3.340597669,8.73,"STK","S","S","S",0,0,"S-008","Bonnet Lake","Xeric Isolated Marsh",NA,NA,NA,NA,"S",2.333682776,31.67,"2003_2007",-3.0145
"414_2008_2014","414_S-008_Bonnet Lake",31.2532,31.3395,1,31.3395,27.77,-3.5695,414,"2008_2014",414,"414_S-008_Bonnet Lake",NA,NA,NA,NA,NA,1,0.811855125,1,"Conditionally Connected","lake","STK-S-008",NA,5412,3222,"STK-S-008","Past",3.340597669,8.73,"STK","S","S","S",0,0,"S-008","Bonnet Lake","Xeric Isolated Marsh",NA,NA,NA,NA,"S",1.23161,31.67,"2008_2014",-3.5695
"415_1996_2002","415_S-010_STWF CC",29.7766,29.84,1,29.84,26.77,-3.07,415,"1996_2002",415,"415_S-010_STWF CC",NA,NA,NA,NA,NA,1,1,1,"Conditionally Connected","wetland","STK-S-010",NA,5413,3223,"STK-S-010","None",16.50427929,2.53,"STK","S","S","NS",0,0,"S-010","STWF CC","Xeric Isolated Cypress",NA,NA,NA,NA,"S",1.786525369,29.5,"1996_2002",-3.07
"415_2003_2007","415_S-010_STWF CC",29.7766,29.84,1,29.84,28.455,-1.385,415,"2003_2007",415,"415_S-010_STWF CC",NA,NA,1,NA,NA,1,1,1,"Conditionally Connected","wetland","STK-S-010",NA,5413,3223,"STK-S-010","None",16.50427929,2.53,"STK","S","S","NS",0,0,"S-010","STWF CC","Xeric Isolated Cypress",NA,NA,NA,NA,"S",1.878867269,29.5,"2003_2007",-1.385
"415_2008_2014","415_S-010_STWF CC",29.7766,29.84,1,29.84,28.27,-1.57,415,"2008_2014",415,"415_S-010_STWF CC",NA,NA,NA,NA,NA,NA,1,1,"Conditionally Connected","wetland","STK-S-010",NA,5413,3223,"STK-S-010","None",16.50427929,2.53,"STK","S","S","NS",0,0,"S-010","STWF CC","Xeric Isolated Cypress",NA,NA,NA,NA,"NS",1.01733,29.5,"2008_2014",-1.57
"417_1996_2002","417_S-013_",31.8665,31.6766,NA,31.8665,27.255,-4.6115,417,"1996_2002",417,"417_S-013_",NA,NA,NA,NA,NA,1,0.851640273,1,"Conditionally Connected","wetland","STK-S-013",1,5415,3225,"STK-S-013","None",0.979696275,6.59,"STK","S","S","?",0,NA,"S-013",NA,"Xeric Isolated Marsh",NA,NA,NA,NA,"S",1.420336008,33.3,"1996_2002",-4.6115
"417_2003_2007","417_S-013_",31.8665,31.6766,NA,31.8665,28.55,-3.3165,417,"2003_2007",417,"417_S-013_",NA,NA,1,NA,NA,1,0.851640273,1,"Conditionally Connected","wetland","STK-S-013",1,5415,3225,"STK-S-013","None",0.979696275,6.59,"STK","S","S","?",0,NA,"S-013",NA,"Xeric Isolated Marsh",NA,NA,NA,NA,"S",1.585227489,33.3,"2003_2007",-3.3165
"417_2008_2014","417_S-013_",31.8665,31.6766,NA,31.8665,27.01,-4.8565,417,"2008_2014",417,"417_S-013_",NA,NA,NA,NA,NA,NA,0.851640273,1,"Conditionally Connected","wetland","STK-S-013",1,5415,3225,"STK-S-013","None",0.979696275,6.59,"STK","S","S","?",0,NA,"S-013",NA,"Xeric Isolated Marsh",NA,NA,NA,NA,NA,0.687506,33.3,"2008_2014",-4.8565
"419_1996_2002","419_S-018_Mud Lake (Starkey)",35.7739,35.782,1,35.782,31.115,-4.667,419,"1996_2002",419,"419_S-018_Mud Lake (Starkey)",NA,NA,NA,NA,NA,NA,1,1,"Conditionally Connected","lake","STK-S-018",NA,5418,3227,"STK-S-018","None",13.30106269,9.96,"STK","S","S","S",0,0,"S-018","STWF I (Mud Lake)","Xeric Isolated Lake",NA,NA,NA,NA,"S",2.895195246,38.09,"1996_2002",-4.667
"419_2003_2007","419_S-018_Mud Lake (Starkey)",35.7739,35.782,1,35.782,32.785,-2.997,419,"2003_2007",419,"419_S-018_Mud Lake (Starkey)",NA,NA,1,NA,NA,NA,1,1,"Conditionally Connected","lake","STK-S-018",NA,5418,3227,"STK-S-018","None",13.30106269,9.96,"STK","S","S","S",0,0,"S-018","STWF I (Mud Lake)","Xeric Isolated Lake",NA,NA,NA,NA,"S",2.877534628,38.09,"2003_2007",-2.997
"419_2008_2014","419_S-018_Mud Lake (Starkey)",35.7739,35.782,1,35.782,32.94,-2.842,419,"2008_2014",419,"419_S-018_Mud Lake (Starkey)",NA,NA,NA,NA,NA,1,1,1,"Conditionally Connected","lake","STK-S-018",NA,5418,3227,"STK-S-018","None",13.30106269,9.96,"STK","S","S","S",0,0,"S-018","STWF I (Mud Lake)","Xeric Isolated Lake",NA,NA,NA,NA,"S",1.38008,38.09,"2008_2014",-2.842
"420_1996_2002","420_STWF E_S-020",35.4941,35.4824,NA,35.4941,30.555,-4.9391,420,"1996_2002",420,"420_STWF E_S-020",NA,NA,NA,NA,NA,NA,1,1,"Conditionally Connected","lake","STK-S-020",NA,5419,3228,"STK-S-020","None",2.076192546,10.1,"STK","S","S","S",0,0,"S-020","STWF E","Xeric Isolated Marsh",NA,NA,NA,NA,"S",2.402586699,37.6,"1996_2002",-4.9391
"420_2003_2007","420_STWF E_S-020",35.4941,35.4824,NA,35.4941,31.545,-3.9491,420,"2003_2007",420,"420_STWF E_S-020",NA,NA,1,NA,NA,NA,1,1,"Conditionally Connected","lake","STK-S-020",NA,5419,3228,"STK-S-020","None",2.076192546,10.1,"STK","S","S","S",0,0,"S-020","STWF E","Xeric Isolated Marsh",NA,NA,NA,NA,"S",2.889333248,37.6,"2003_2007",-3.9491
"420_2008_2014","420_STWF E_S-020",35.4941,35.4824,NA,35.4941,31.39,-4.1041,420,"2008_2014",420,"420_STWF E_S-020",NA,NA,NA,NA,NA,1,1,1,"Conditionally Connected","lake","STK-S-020",NA,5419,3228,"STK-S-020","None",2.076192546,10.1,"STK","S","S","S",0,0,"S-020","STWF E","Xeric Isolated Marsh",NA,NA,NA,NA,"S",1.32102,37.6,"2008_2014",-4.1041
"421_1996_2002","421_S-023_STWF H",31.6556,31.4144,NA,31.6556,27.7,-3.9556,421,"1996_2002",421,"421_S-023_STWF H",NA,NA,NA,NA,NA,1,0.869978904,1,"Conditionally Connected","wetland","STK-S-023",NA,5420,3229,"STK-S-023","None",18.40854591,5,"STK","S","S","NS",0,0,"S-023","STWF H","Xeric Isolated Cypress",NA,NA,NA,NA,"S",1.427912712,32.1,"1996_2002",-3.9556
"421_2003_2007","421_S-023_STWF H",31.6556,31.4144,NA,31.6556,29.39,-2.2656,421,"2003_2007",421,"421_S-023_STWF H",NA,NA,1,NA,NA,1,0.869978904,1,"Conditionally Connected","wetland","STK-S-023",NA,5420,3229,"STK-S-023","None",18.40854591,5,"STK","S","S","NS",0,0,"S-023","STWF H","Xeric Isolated Cypress",NA,NA,NA,NA,"S",1.590862513,32.1,"2003_2007",-2.2656
"421_2008_2014","421_S-023_STWF H",31.6556,31.4144,NA,31.6556,29.48,-2.1756,421,"2008_2014",421,"421_S-023_STWF H",NA,NA,NA,NA,NA,NA,0.869978904,1,"Conditionally Connected","wetland","STK-S-023",NA,5420,3229,"STK-S-023","None",18.40854591,5,"STK","S","S","NS",0,0,"S-023","STWF H","Xeric Isolated Cypress",NA,NA,NA,NA,"NS",0.679967,32.1,"2008_2014",-2.1756
"422_1996_2002","422_S-024_S-024/STWF B   (Grass Prairie W*",32.138,31.8456,NA,32.138,27.1,-5.038,422,"1996_2002",422,"422_S-024_S-024/STWF B   (Grass Prairie W*",NA,NA,NA,NA,NA,1,0.857412086,1,"Conditionally Connected","wetland","STK-S-024",NA,5421,3230,"STK-S-024","Current/Recent",88.84806801,3.97,"STK","S","S","NS",0,0,"S-024","S-024 (Grass Prairie West)","Xeric Isolated Marsh",NA,1,NA,NA,"S",1.372407794,31,"1996_2002",-5.038
"422_2003_2007","422_S-024_S-024/STWF B   (Grass Prairie W*",32.138,31.8456,NA,32.138,28.66,-3.478,422,"2003_2007",422,"422_S-024_S-024/STWF B   (Grass Prairie W*",NA,NA,1,NA,NA,1,0.857412086,1,"Conditionally Connected","wetland","STK-S-024",NA,5421,3230,"STK-S-024","Current/Recent",88.84806801,3.97,"STK","S","S","NS",0,0,"S-024","S-024 (Grass Prairie West)","Xeric Isolated Marsh",NA,1,NA,NA,"S",1.483212113,31,"2003_2007",-3.478
"422_2008_2014","422_S-024_S-024/STWF B   (Grass Prairie W*",32.138,31.8456,NA,32.138,28.085,-4.053,422,"2008_2014",422,"422_S-024_S-024/STWF B   (Grass Prairie W*",NA,NA,NA,NA,NA,NA,0.857412086,1,"Conditionally Connected","wetland","STK-S-024",NA,5421,3230,"STK-S-024","Current/Recent",88.84806801,3.97,"STK","S","S","NS",0,0,"S-024","S-024 (Grass Prairie West)","Xeric Isolated Marsh",NA,1,NA,NA,"NS",0.634957,31,"2008_2014",-4.053
"423_1996_2002","423_S-030_STWF U",31.72,31.8212,1,31.8212,28.115,-3.7062,423,"1996_2002",423,"423_S-030_STWF U",NA,NA,NA,NA,NA,NA,0.770662531,1,"Connected","wetland","STK-S-030",NA,5423,3232,"STK-S-030","None",1.827618574,2.54,"STK","S","S","S?",0,0,"S-030","STWF U","Xeric Isolated Cypress",NA,NA,NA,NA,"S",2.496854544,32,"1996_2002",-3.7062
"423_2003_2007","423_S-030_STWF U",31.72,31.8212,1,31.8212,29.46,-2.3612,423,"2003_2007",423,"423_S-030_STWF U",NA,NA,1,NA,NA,NA,0.770662531,1,"Connected","wetland","STK-S-030",NA,5423,3232,"STK-S-030","None",1.827618574,2.54,"STK","S","S","S?",0,0,"S-030","STWF U","Xeric Isolated Cypress",NA,NA,NA,NA,"S",2.798770666,32,"2003_2007",-2.3612
"423_2008_2014","423_S-030_STWF U",31.72,31.8212,1,31.8212,30.59,-1.2312,423,"2008_2014",423,"423_S-030_STWF U",NA,NA,NA,NA,NA,NA,0.770662531,1,"Connected","wetland","STK-S-030",NA,5423,3232,"STK-S-030","None",1.827618574,2.54,"STK","S","S","S?",0,0,"S-030","STWF U","Xeric Isolated Cypress",NA,NA,NA,NA,NA,1.07829,32,"2008_2014",-1.2312
"425_1996_2002","425_S-035_",41.719,41.723,1,41.723,36.375,-5.348,425,"1996_2002",425,"425_S-035_",NA,NA,NA,NA,NA,NA,0.719597283,1,"Conditionally Connected","wetland","STK-S-035",NA,5425,3234,"STK-S-035","Past",0.727614323,4.78,"STK","S","S","NS",0,1,"S-035",NA,"Xeric Isolated Cypress",NA,NA,NA,NA,"S",4.766069889,40.9,"1996_2002",-5.348
"425_2003_2007","425_S-035_",41.719,41.723,1,41.723,38.63,-3.093,425,"2003_2007",425,"425_S-035_",NA,NA,1,NA,NA,NA,0.719597283,1,"Conditionally Connected","wetland","STK-S-035",NA,5425,3234,"STK-S-035","Past",0.727614323,4.78,"STK","S","S","NS",0,1,"S-035",NA,"Xeric Isolated Cypress",NA,NA,NA,NA,"S",5.204246521,40.9,"2003_2007",-3.093
"425_2008_2014","425_S-035_",41.719,41.723,1,41.723,38.95,-2.773,425,"2008_2014",425,"425_S-035_",NA,NA,NA,NA,NA,NA,0.719597283,1,"Conditionally Connected","wetland","STK-S-035",NA,5425,3234,"STK-S-035","Past",0.727614323,4.78,"STK","S","S","NS",0,1,"S-035",NA,"Xeric Isolated Cypress",NA,NA,NA,NA,"NS",1.69034,40.9,"2008_2014",-2.773
"454_1996_2002","454_S-084_",39.5639,39.955,1,39.955,33.085,-6.87,454,"1996_2002",454,"454_S-084_",NA,NA,NA,NA,NA,NA,0.750157827,1,"Conditionally Connected","wetland","STK-S-084",NA,5455,3264,"STK-S-084","Past",1.859768522,7.75,"STK","S","S","S?",0,1,"S-084",NA,"Xeric Isolated Cypress",NA,NA,NA,NA,"S",3.773848534,40.1,"1996_2002",-6.87
"454_2003_2007","454_S-084_",39.5639,39.955,1,39.955,35.26,-4.695,454,"2003_2007",454,"454_S-084_",NA,NA,1,NA,NA,NA,0.750157827,1,"Conditionally Connected","wetland","STK-S-084",NA,5455,3264,"STK-S-084","Past",1.859768522,7.75,"STK","S","S","S?",0,1,"S-084",NA,"Xeric Isolated Cypress",NA,NA,NA,NA,"S",3.525359154,40.1,"2003_2007",-4.695
"454_2008_2014","454_S-084_",39.5639,39.955,1,39.955,36.705,-3.25,454,"2008_2014",454,"454_S-084_",NA,NA,NA,NA,NA,NA,0.750157827,1,"Conditionally Connected","wetland","STK-S-084",NA,5455,3264,"STK-S-084","Past",1.859768522,7.75,"STK","S","S","S?",0,1,"S-084",NA,"Xeric Isolated Cypress",NA,NA,NA,NA,NA,1.28547,40.1,"2008_2014",-3.25
"457_1996_2002","457_S-090_Starkey Bay",32.4332,32.4406,1,32.4406,29.195,-3.2456,457,"1996_2002",457,"457_S-090_Starkey Bay",NA,NA,NA,NA,NA,NA,0.955486306,1,"Conditionally Connected","wetland","STK-S-090",NA,5458,3267,"STK-S-090","None",50.55041424,4.52,"STK","S","S","Changed",0,0,"S-090","Starkey Bay","Not assigned",NA,NA,NA,NA,"S",2.829627275,32.97,"1996_2002",-3.2456
